Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9388250,9388250,9388250,9388220,9388211,9388211,9388210,9388210,9388210,9388210,9388210,9388210
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,404800,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,107400,107400,107400,107400,106440,104100,104040,103800,103800,103800,103800,103800
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,,,,,,444,444,444,444,444,444,444
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,240,240,240,240,240,240,240,240,240,240,240,240
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
Czechia,CZE,Land area (sq. km),AG.LND.TOTL.K2,,,,77270,77230,77210,77210,77210,77210,77205.5,77198.53,77186.83
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,349130,349130,349130,348950,348570,348860,349360,349370,349380,349390,349390,349390
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,750,750,750,750,750,750,750,750,750,750,750,750
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,48310,48310,48310,48310,48310,48310,48310,48310,48310,47531,47531,47531
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741,2381741
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,15922288.74,15922198.74,15922198.74,15975027.74,15986826.42,15986698.4,15986401.4,15986337.4,15986313,15986316,15986534.8,16001571.47
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,32210843,32210623,32210623,33187094,33314070.95,33317194.35,33316932.51,33310584.82,33310596.43,33309810.86,33309874.27,33324923.74
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,24396148.74,24395638.74,24393928.74,24446988.74,24459569.12,24459693.8,24469160.9,24469121.2,24469110.9,24469195.9,24469416.7,24484453.47
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,907660,907660,907660,22298628,22392760,22396381,22396389,22396398,22396476.3,22396429.9,22393160.6,22393223
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,5483113.727,5482734.437,5481674.997,27344059.77,27439415.61,27444550.26,27444905.09,27444169.81,27444846.54,27444670.14,27440570.42,27440754.49
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,276840,276840,276840,248360,248360,248360,248360,248360,248360,248360,248360,248360
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,2410306,2409996,2409966,2679346.46,2679328.66,2680277.66,2680670.06,2679948.51,2680001.939,2679977.496,2679977.105,2680151.404
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,,,,101000,121065.103,121088.775,121077.459,121071.233,121077.714,121080.546,121040.829,121040.829
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,499780,499470,499440,499000,500010,499661,499564,499547.35,499603.479,499570.036,499556.645,499733.244
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,,,,42390,42390,43470,43470,42750,42750,42750,42750,42750
Ethiopia,ETH,Land area (sq. km),AG.LND.TOTL.K2,1101000,1101000,1101000,1000000,1128570.952,1128539.353,1128558.509,1128552.82,1128561.429,1128570.858,1128571.265,1128571.265
European Union,EUU,Land area (sq. km),AG.LND.TOTL.K2,3594885.7,3594505.7,3593445.7,3996118.16,3995282.36,3996852.3,3997244.7,3996523.15,3996556.579,3996440.586,3996449.167,3996581.774
Fragile and conflict affected situations,FCS,Land area (sq. km),AG.LND.TOTL.K2,19606541,19605741,19605741,20185971,20331097.06,20454617.13,20454324.97,20454293.05,20454358.14,20454370.4,20454301.09,20454306.09
Finland,FIN,Land area (sq. km),AG.LND.TOTL.K2,304590,304590,304590,304590,303900,303910,303910,303920,303920,303930,303940,303947.7
Fiji,FJI,Land area (sq. km),AG.LND.TOTL.K2,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
France,FRA,Land area (sq. km),AG.LND.TOTL.K2,547566,547566,547566,547567,547557,547557,547557,547557,547557,547557,547557,547557
Faroe Islands,FRO,Land area (sq. km),AG.LND.TOTL.K2,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1366,1370
"Micronesia, Fed. Sts.",FSM,Land area (sq. km),AG.LND.TOTL.K2,,,,700,700,700,700,700,700,700,700,700
Gabon,GAB,Land area (sq. km),AG.LND.TOTL.K2,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670
United Kingdom,GBR,Land area (sq. km),AG.LND.TOTL.K2,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930
Georgia,GEO,Land area (sq. km),AG.LND.TOTL.K2,,,,69490,69490,69490,69490,69490,69490,69490,69490,69490
Ghana,GHA,Land area (sq. km),AG.LND.TOTL.K2,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227533,227533
Gibraltar,GIB,Land area (sq. km),AG.LND.TOTL.K2,10,10,10,10,10,10,10,10,10,10,10,10
Guinea,GIN,Land area (sq. km),AG.LND.TOTL.K2,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720
"Gambia, The",GMB,Land area (sq. km),AG.LND.TOTL.K2,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
Guinea-Bissau,GNB,Land area (sq. km),AG.LND.TOTL.K2,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Greece,GRC,Land area (sq. km),AG.LND.TOTL.K2,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900
Grenada,GRD,Land area (sq. km),AG.LND.TOTL.K2,340,340,340,340,340,340,340,340,340,340,340,340
Greenland,GRL,Land area (sq. km),AG.LND.TOTL.K2,341700,341700,341700,410450,410450,410450,410450,410450,410450,410450,410450,410450
Guatemala,GTM,Land area (sq. km),AG.LND.TOTL.K2,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160
Guam,GUM,Land area (sq. km),AG.LND.TOTL.K2,540,540,540,540,540,540,540,540,540,540,540,540
Guyana,GUY,Land area (sq. km),AG.LND.TOTL.K2,196710,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850
High income,HIC,Land area (sq. km),AG.LND.TOTL.K2,34973369.73,34972620.44,34969851,35444478.77,35432036.31,35434006.66,35444118.59,35443399.61,35444070.14,35444024.14,35443200.72,35266437.49
"Hong Kong SAR, China",HKG,Land area (sq. km),AG.LND.TOTL.K2,1020,1000,990,1050,1050,1050,1050,1050,1050,1050,1050,1050
Honduras,HND,Land area (sq. km),AG.LND.TOTL.K2,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890
Heavily indebted poor countries (HIPC),HPC,Land area (sq. km),AG.LND.TOTL.K2,19753851,19753191,19753191,19753191,19902537.06,19394789.13,19394796.97,19394785.05,19394800.14,19394812.4,19394766.09,19394766.09
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,,,,55912,55964,55964,55964,55964,55964,55964,55960,55960
Haiti,HTI,Land area (sq. km),AG.LND.TOTL.K2,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560
Hungary,HUN,Land area (sq. km),AG.LND.TOTL.K2,89980,89910,89870,89620,90530,91260,91260,91260,91260,91260,91260,91260
IBRD only,IBD,Land area (sq. km),AG.LND.TOTL.K2,50169800.74,50169450.74,50168460.74,70871444.74,70975600.42,70975231.4,70975251.4,70969019.4,70969164.3,70968327.9,70965228.4,70980294.47
IDA & IBRD total,IBT,Land area (sq. km),AG.LND.TOTL.K2,74223734.74,74222724.74,74221734.74,95686750.74,95938066.47,96064420.53,96064166.37,96057839.45,96057915.44,96057059.77,96053974.5,96069043.56
IDA total,IDA,Land area (sq. km),AG.LND.TOTL.K2,24053934,24053274,24053274,24815306,24962466.06,25089189.13,25088914.97,25088820.05,25088751.14,25088731.87,25088746.09,25088749.09
IDA blend,IDB,Land area (sq. km),AG.LND.TOTL.K2,3943970,3943970,3943970,4379935,4379862,4384570,4384561,4384558,4384557,4384525,4384620,4384623
Indonesia,IDN,Land area (sq. km),AG.LND.TOTL.K2,1811570,1811570,1811570,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1892555.47
IDA only,IDX,Land area (sq. km),AG.LND.TOTL.K2,20109964,20109304,20109304,20435371,20582604.06,20704619.13,20704353.97,20704262.05,20704194.14,20704206.87,20704126.09,20704126.09
Isle of Man,IMN,Land area (sq. km),AG.LND.TOTL.K2,570,570,570,570,570,570,570,570,570,570,570,570
India,IND,Land area (sq. km),AG.LND.TOTL.K2,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190
Not classified,INX,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,
Ireland,IRL,Land area (sq. km),AG.LND.TOTL.K2,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890
"Iran, Islamic Rep.",IRN,Land area (sq. km),AG.LND.TOTL.K2,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1622500,1622500,1622500,1622500,1622500
Iraq,IRQ,Land area (sq. km),AG.LND.TOTL.K2,437370,437370,437370,437370,434320,434128,434128,434128,434128,434128,434128,434128
Iceland,ISL,Land area (sq. km),AG.LND.TOTL.K2,100250,100250,100250,100250,100250,100250,100250,100250,100830,100830,100830,100830
Israel,ISR,Land area (sq. km),AG.LND.TOTL.K2,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640
Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,294110,294110,294110,295718,295718,295718,295718,295718,295718,295717,295717,295717
Jamaica,JAM,Land area (sq. km),AG.LND.TOTL.K2,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830
Jordan,JOR,Land area (sq. km),AG.LND.TOTL.K2,88240,88240,88240,88240,88780,88780,88780,88780,88780,88794,88794,88794
Japan,JPN,Land area (sq. km),AG.LND.TOTL.K2,366700,366300,364600,364500,364500,364500,364500,364500,364500,364500,364500,364500
Kazakhstan,KAZ,Land area (sq. km),AG.LND.TOTL.K2,,,,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700
Kenya,KEN,Land area (sq. km),AG.LND.TOTL.K2,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140
Kyrgyz Republic,KGZ,Land area (sq. km),AG.LND.TOTL.K2,,,,191800,191800,191800,191800,191800,191800,191800,191800,191800
Cambodia,KHM,Land area (sq. km),AG.LND.TOTL.K2,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520
Kiribati,KIR,Land area (sq. km),AG.LND.TOTL.K2,810,810,810,810,810,810,810,810,810,810,810,810
St. Kitts and Nevis,KNA,Land area (sq. km),AG.LND.TOTL.K2,350,260,260,260,260,260,260,260,260,260,260,260
"Korea, Rep.",KOR,Land area (sq. km),AG.LND.TOTL.K2,96460,96460,96460,96460,97200,97445,97489,97510,97520,97600,97600,97600
Kuwait,KWT,Land area (sq. km),AG.LND.TOTL.K2,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820
Latin America & Caribbean (excluding high income),LAC,Land area (sq. km),AG.LND.TOTL.K2,17972020,17971890,17971890,17943410,17942450,17940110,17940050,17939810,17939810,17939031,17939031,17939031
Lao PDR,LAO,Land area (sq. km),AG.LND.TOTL.K2,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800
Lebanon,LBN,Land area (sq. km),AG.LND.TOTL.K2,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230
Liberia,LBR,Land area (sq. km),AG.LND.TOTL.K2,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320
Libya,LBY,Land area (sq. km),AG.LND.TOTL.K2,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540
St. Lucia,LCA,Land area (sq. km),AG.LND.TOTL.K2,610,610,610,610,610,610,610,610,610,610,610,610
Latin America & Caribbean,LCN,Land area (sq. km),AG.LND.TOTL.K2,20070772,20070692,20070692,20042212,20041252,20039220,20039160,20038920,20038980,20038201,20038201,20038201
Least developed countries: UN classification,LDC,Land area (sq. km),AG.LND.TOTL.K2,20134524,20133724,20133724,20127151,20274534.06,20398536.13,20398270.97,20398229.05,20398190.14,20398202.4,20398133.09,20398133.09
Low income,LIC,Land area (sq. km),AG.LND.TOTL.K2,14472740,14471940,14471940,14471940,14621136.06,14745318.13,14745325.97,14745314.05,14745329.14,14745341.4,14745302.09,14745302.09
Liechtenstein,LIE,Land area (sq. km),AG.LND.TOTL.K2,160,160,160,160,160,160,160,160,160,160,160,160
Sri Lanka,LKA,Land area (sq. km),AG.LND.TOTL.K2,62710,62710,62710,62710,62710,61893,61893,61893,61864,61864.47,61860,61860
Lower middle income,LMC,Land area (sq. km),AG.LND.TOTL.K2,22681182.74,22681052.74,22681052.74,24007824.74,24018386.42,24020950.4,24020672.4,24014355.4,24014397,24014382.47,24014684.8,24014688
Low & middle income,LMY,Land area (sq. km),AG.LND.TOTL.K2,71842882.74,71841822.74,71841822.74,93250566.74,93500540.47,93624834.53,93624520.37,93617953.45,93617989.44,93617193.77,93614092.5,93629196.56
Lesotho,LSO,Land area (sq. km),AG.LND.TOTL.K2,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360
Late-demographic dividend,LTE,Land area (sq. km),AG.LND.TOTL.K2,24766870.74,24766970.74,24765980.74,44416123.74,44524774.42,44524904.4,44524912.4,44524210.4,44524754.3,44524698.37,44521586.4,44521646
Lithuania,LTU,Land area (sq. km),AG.LND.TOTL.K2,,,,62680,62675,62650,62642,62641,62630,62620,62620,62610
Luxembourg,LUX,Land area (sq. km),AG.LND.TOTL.K2,,,,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46
Latvia,LVA,Land area (sq. km),AG.LND.TOTL.K2,,,,62227,62227,62227,62227,62227,62227,62227,62230,62230
"Macao SAR, China",MAC,Land area (sq. km),AG.LND.TOTL.K2,20,20,20,20,29.7,30.4,30.5,30.8,32.9,32.9,32.9,33
St. Martin (French part),MAF,Land area (sq. km),AG.LND.TOTL.K2,,,,,,50,50,50,50,50,50,50
Morocco,MAR,Land area (sq. km),AG.LND.TOTL.K2,446340,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300
Monaco,MCO,Land area (sq. km),AG.LND.TOTL.K2,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.084
Moldova,MDA,Land area (sq. km),AG.LND.TOTL.K2,,,,32880,32850,32880,32880,32890,32885.3,32885.9,32884.6,32970
Madagascar,MDG,Land area (sq. km),AG.LND.TOTL.K2,581540,581540,581540,581540,581540,581800,581800,581800,581800,581800,581800,581800
Maldives,MDV,Land area (sq. km),AG.LND.TOTL.K2,300,300,300,300,300,300,300,300,300,300,300,300
Middle East & North Africa,MEA,Land area (sq. km),AG.LND.TOTL.K2,11226270,11226230,11226230,11226250,11223642,11223347,11223348,11217089,11217087,11217103,11217108,11217118
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950
Marshall Islands,MHL,Land area (sq. km),AG.LND.TOTL.K2,,,,180,180,180,180,180,180,180,180,180
Middle income,MIC,Land area (sq. km),AG.LND.TOTL.K2,57370142.74,57369882.74,57369882.74,78778626.74,78879404.42,78879516.4,78879194.4,78872639.4,78872660.3,78871852.37,78868790.4,78883894.47
North Macedonia,MKD,Land area (sq. km),AG.LND.TOTL.K2,,,,25430,25220,25220,25220,25220,25220,25220,25220,25220
Mali,MLI,Land area (sq. km),AG.LND.TOTL.K2,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190,1220190
Malta,MLT,Land area (sq. km),AG.LND.TOTL.K2,320,320,320,320,320,320,320,320,320,320,320,320
Myanmar,MMR,Land area (sq. km),AG.LND.TOTL.K2,653540,653540,653540,653540,653260,653080,652780,652750,652700,652700,652670,652670
Middle East & North Africa (excluding high income),MNA,Land area (sq. km),AG.LND.TOTL.K2,8643980,8643940,8643940,8643940,8641280,8641089,8641089,8634829,8634829,8634843,8634843,8634848
Montenegro,MNE,Land area (sq. km),AG.LND.TOTL.K2,,,,,13450,13450,13450,13450,13450,13450,13450,13450
Mongolia,MNG,Land area (sq. km),AG.LND.TOTL.K2,1547438.742,1547438.742,1547438.742,1547438.742,1557292.418,1557255.4,1557255.4,1557255.4,1557255,1557258,1557506.803,1557507
Northern Mariana Islands,MNP,Land area (sq. km),AG.LND.TOTL.K2,,,,460,460,460,460,460,460,460,460,460
Mozambique,MOZ,Land area (sq. km),AG.LND.TOTL.K2,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380,786380
Mauritania,MRT,Land area (sq. km),AG.LND.TOTL.K2,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700
Mauritius,MUS,Land area (sq. km),AG.LND.TOTL.K2,2030,2030,2030,2030,2030,1997,1997,1997,1997,1997,1997,1997
Malawi,MWI,Land area (sq. km),AG.LND.TOTL.K2,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280,94280
Malaysia,MYS,Land area (sq. km),AG.LND.TOTL.K2,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550,328550
North America,NAC,Land area (sq. km),AG.LND.TOTL.K2,18124604,18124604,18124604,18127564,18113064,18113064,18113064,18113064,18113064,18113064,18113064,17936174
Namibia,NAM,Land area (sq. km),AG.LND.TOTL.K2,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290,823290
New Caledonia,NCL,Land area (sq. km),AG.LND.TOTL.K2,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280,18280
Niger,NER,Land area (sq. km),AG.LND.TOTL.K2,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700,1266700
Nigeria,NGA,Land area (sq. km),AG.LND.TOTL.K2,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770,910770
Nicaragua,NIC,Land area (sq. km),AG.LND.TOTL.K2,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340,120340
Netherlands,NLD,Land area (sq. km),AG.LND.TOTL.K2,33760,33760,33760,33760,33730,33670,33670,33670,33670,33670,33670,33670
Norway,NOR,Land area (sq. km),AG.LND.TOTL.K2,365244,365244,365244,365244,365244,365190.7,365145.73,365123,365108,365094,364285,364270
Nepal,NPL,Land area (sq. km),AG.LND.TOTL.K2,143000,143000,143000,143350,143350,143350,143350,143350,143350,143350,143350,143350
Nauru,NRU,Land area (sq. km),AG.LND.TOTL.K2,20,20,20,20,20,20,20,20,20,20,20,20
New Zealand,NZL,Land area (sq. km),AG.LND.TOTL.K2,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310,263310
OECD members,OED,Land area (sq. km),AG.LND.TOTL.K2,35163939.7,35163160.41,35161390.97,35510645.74,35497717.59,35499446.23,35509557.06,35508833.78,35509442.21,35509392.22,35508595.8,35331823.4
Oman,OMN,Land area (sq. km),AG.LND.TOTL.K2,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500
Other small states,OSS,Land area (sq. km),AG.LND.TOTL.K2,1983394,1983394,1983394,2018881,2030700,2031643,2031671,2030952,2031526,2031528,2031533,2031538
Pakistan,PAK,Land area (sq. km),AG.LND.TOTL.K2,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880,770880
Panama,PAN,Land area (sq. km),AG.LND.TOTL.K2,74340,74340,74340,74340,74340,74120,74120,74120,74180,74180,74180,74180
Peru,PER,Land area (sq. km),AG.LND.TOTL.K2,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000
Philippines,PHL,Land area (sq. km),AG.LND.TOTL.K2,298260,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170,298170
Palau,PLW,Land area (sq. km),AG.LND.TOTL.K2,,,,460,460,460,460,460,460,460,460,460
